"type","rating","count","ranking"
"Movie","TV-MA","2062","1"
"Movie","TV-14","1427","2"
"Movie","R","797","3"
"Movie","TV-PG","540","4"
"Movie","PG-13","490","5"
"Movie","PG","287","6"
"Movie","TV-Y7","139","7"
"Movie","TV-Y","131","8"
"Movie","TV-G","126","9"
"Movie","NR","75","10"
"Movie","G","41","11"
"Movie","TV-Y7-FV","5","12"
"Movie","NC-17","3","13"
"Movie","UR","3","13"
"Movie",NULL,"2","15"
"Movie","84 min","1","16"
"Movie","66 min","1","16"
"Movie","74 min","1","16"
"TV Show","TV-MA","1145","1"
"TV Show","TV-14","733","2"
"TV Show","TV-PG","323","3"
"TV Show","TV-Y7","195","4"
"TV Show","TV-Y","176","5"
"TV Show","TV-G","94","6"
"TV Show","NR","5","7"
"TV Show",NULL,"2","8"
"TV Show","R","2","8"
"TV Show","TV-Y7-FV","1","10"
